drug_id,drug_name,atc_code,atc_level1,atc_level1_name,atc_level2,atc_level3,atc_level4,atc_level5,level_name,primary_category
DB05015,Belinostat,L01XX49,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XX,L01XX49,Other antineoplastic agents,L
DB05016,Ataluren,M09AX03,M,Musculo-skeletal system,M09,M09A,M09AX,M09AX03,Other drugs for disorders of the musculo-skeletal system,M
DB05018,Migalastat,A16AX14,A,Alimentary tract and metabolism,A16,A16A,A16AX,A16AX14,Various alimentary tract and metabolism products,A
DB05039,Indacaterol,R03AC18,R,Respiratory system,R03,R03A,R03AC,R03AC18,Selective beta-2-adrenoreceptor agonists,R
DB05039,Indacaterol,R03AL04,R,Respiratory system,R03,R03A,R03AL,R03AL04,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,R
DB05057,Erdosteine,R05CB15,R,Respiratory system,R05,R05C,R05CB,R05CB15,Mucolytics,R
DB05099,Ancrod,B01AD09,B,Blood and blood forming organs,B01,B01A,B01AD,B01AD09,Enzymes,B
DB05105,Pleconaril,J05AX06,J,Antiinfectives for systemic use,J05,J05A,J05AX,J05AX06,Other antivirals,J
DB05109,Trabectedin,L01CX01,L,Antineoplastic and immunomodulating agents,L01,L01C,L01CX,L01CX01,Other plant alkaloids and natural products,L
DB05168,Vintafolide,L01CA06,L,Antineoplastic and immunomodulating agents,L01,L01C,L01CA,L01CA06,Vinca alkaloids and analogues,L
DB05219,Crisaborole,D11AH06,D,Dermatologicals,D11,D11A,D11AH,D11AH06,"Agents for dermatitis, excluding corticosteroids",D
DB05229,Beraprost,B01AC19,B,Blood and blood forming organs,B01,B01A,B01AC,B01AC19,Platelet aggregation inhibitors excl. heparin,B
DB05239,Cobimetinib,L01XE38,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XE,L01XE38,Protein kinase inhibitors,L
DB05245,Silver sulfadiazine,D06BA01,D,Dermatologicals,D06,D06B,D06BA,D06BA01,Sulfonamides,D
DB05245,Silver sulfadiazine,G01AE10,G,Genito-urinary system and sex hormones,G01,G01A,G01AE,G01AE10,Sulfonamides,G
DB05245,Silver sulfadiazine,D06BA51,D,Dermatologicals,D06,D06B,D06BA,D06BA51,Sulfonamides,D
DB05246,Methsuximide,N03AD03,N,Nervous system,N03,N03A,N03AD,N03AD03,Succinimide derivatives,N
